tweet_id,url,created_at,date,author_id,author_username,author_name,author_followers,author_verified,lang,text,retweet_count,reply_count,like_count,quote_count,bookmark_count,view_count,is_reply,conversation_id,source,media,query,product
1931561780225905079,https://x.com/sovmindset/status/1931561780225905079,2025-06-08T03:59:49+00:00,2025-06-08,2278088154,sovmindset,Michael Ruiz,23523,True,en,New status symbols: • Fit body. • Calm mind. • Faith in God. • Strong family. • Positive outlook. • Bitcoin in cold storage. • A schedule you control. • Options to choose from. • Friends you’d go to war with. • Principles you won’t sell out for.,10,3,65,2,7,1871,False,1931561780225905079,Twitter Web App,[],bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561628383809685,https://x.com/ALIENPING0/status/1931561628383809685,2025-06-08T03:59:13+00:00,2025-06-08,1917582502664994816,ALIENPING0,AlienPing,1184,True,en,🔥 $ALIENPING raids START @ 12AM UTC! ONLY 1 MINUTE LEFT 🪐 Check our SICK YouTube: https://t.co/UfZqWrcBRe! 💪 Join the COSMIC CREW! https://t.co/C8zqhNQW0O $BTC $ETH $SOL #Crypto #Bitcoin #memecoin #solanameme,7,16,7,0,7,60,False,1931561628383809685,Twitter Web App,[],bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561601452151260,https://x.com/Thomas__Jerome/status/1931561601452151260,2025-06-08T03:59:07+00:00,2025-06-08,1153552925534367744,Thomas__Jerome,Bitcoin Teej | PROFIT MAXI 🧊,99201,True,en,"Bitcoin is the only asset I can hold with zero management, zero tenants, zero counterparty risk, and zero time commitment… …and it’s outperformed 99% of assets over the last decade. Don’t overcomplicate it. Stack consistently. Hold long. Retire early.",2,17,30,0,3,3100,False,1931561601452151260,Buffer,[],bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561573476356367,https://x.com/wiseadvicesumit/status/1931561573476356367,2025-06-08T03:59:00+00:00,2025-06-08,519807680,wiseadvicesumit,Wise Advice,322325,True,en,"Good morning fam ♥️ Here is the top news of the week 👇🗞️ 🔔Elon Musk and Donald Trump clashed in a heated argument over political differences. 🔔#ElonMusk said ""without me, Trump would have lost the election."" 🔔#Trump said Elon Musk will face very serious consequences if he funds Democrats. 🔔🇺🇸 President Trump said his relationship with Elon Musk is over. 🔔Elon Musk said President Trump's tariffs will cause a recession in the second half of this year. 🔔Trump to announce next Fed Chair very soon. 🔔X Partnered With Polymarket as Official Prediction Market. 🔔🇺🇸 US Unemployment data came at 4.2% US economy added 139,000 jobs in May, higher than expectations. 🔔JPMorgan is set to officially begin accepting Bitcoin and other crypto-based ETFs as collateral for loans. 🔔🇩🇪 $1.5 trillion Deutsche Bank considers issuing its own crypto stablecoin. 🔔Uber CEO said Bitcoin is a proven store of value and stablecoins are promising for global transactions. 🔔🇺🇸🇸🇻 President Trump's executive director of digital assets meets with El Salvador's President Nayib Bukele to discuss Bitcoin. 🔔Chinese firm Webus filed to raise $300 million for $XRP treasury plan. 🔔🇮🇳 #WazirX moved to Panama; Singapore High Court rejected WazirX’s restructuring plan. 🔔Russia's Moscow Stock Exchange launched a Bitcoin futures trading. 🔔🇺🇸 Truth Social officially filed an S-1 document with the SEC for a Bitcoin ETF. 🔔Donald Trump Jr. said his family is ""all in"" on #Bitcoin and #crypto because they were debanked. 🔔🇫🇷 Publicly traded The Blockchain Group bought 624 Bitcoin worth $60 million. 🔔🇭🇰 Hong Kong's Reitar Logtech announced plans to acquire $1.5 billion Bitcoin. 🔔Sberbank, the largest bank in Russia, officially announced the launch of Bitcoin-tied structured bonds. 🔔Metaplanet bought another 1,088 Bitcoin worth $114 million. 🔔Elon Musk said X is launching new 'XChat' messaging system with ""Bitcoin-style"" encryption.",97,113,154,0,2,7938,False,1931561573476356367,Twitter Web Client,"[{""type"": ""photo"", ""url"": ""https://pbs.twimg.com/media/Gs4-QSIbIAAcnTO.jpg"", ""expanded_url"": ""https://x.com/wiseadvicesumit/status/1931561573476356367/photo/1"", ""video_url"": null}]",bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561572717178956,https://x.com/KaisOnChain/status/1931561572717178956,2025-06-08T03:59:00+00:00,2025-06-08,1513762237,KaisOnChain,KaisOnChain.eth,1143,False,en,🚨 ALTSEASON TRIGGER: $BTC DOMINANCE PEAKS ▸ Bitcoin dominance rolls over → altcoin rocket fuel ▸ Historical pattern: BTC dominance drop = Alts surge 300-1000 https://t.co/StOsCyZaKb,0,0,1,0,0,60,False,1931561572717178956,Twitter Web App,"[{""type"": ""photo"", ""url"": ""https://pbs.twimg.com/media/Gs5EQ-QawAAriWG.jpg"", ""expanded_url"": ""https://x.com/KaisOnChain/status/1931561572717178956/photo/1"", ""video_url"": null}]",bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561445537243523,https://x.com/cryptofxalex/status/1931561445537243523,2025-06-08T03:58:29+00:00,2025-06-08,1607557520318689281,cryptofxalex,Alexandros 👑,4397,True,en,#CETUSUSDT Entry: 0.1299 Target 1: 0.1321 ✅ Target 2: 0.1342 ✅ PM ME TO JOIN VIP AND INVEST: https://t.co/e5q2W5Be4w #bitcoin #crypto #btc #eth #altcoin #trading #signal #memecoin #forex #xau #investing #gold #blockchain $CETUS,1,0,0,0,0,445,False,1931561445537243523,Twitter for iPhone,[],bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561318487654755,https://x.com/cookiebot_ai/status/1931561318487654755,2025-06-08T03:57:59+00:00,2025-06-08,1267469212949217280,cookiebot_ai,Cookie.AI,305,False,en,"$ETH is currently trading at $2,514 with SMA indicating a slight bearish trend, RSI at 51.85, MACD showing weakening momentum, and FVG levels suggesting mixed sentiment. #bitcoin #btc #cryptocurrency #eth #ethereum #web3 #solana https://t.co/IL5uCM5Lb1",0,1,0,0,0,67,False,1931561318487654755,1888459667384487936bhombzz,"[{""type"": ""photo"", ""url"": ""https://pbs.twimg.com/media/Gs5IyJgXYAAvpTT.jpg"", ""expanded_url"": ""https://x.com/cookiebot_ai/status/1931561318487654755/photo/1"", ""video_url"": null}]",bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561277257638251,https://x.com/cryptofxalex/status/1931561277257638251,2025-06-08T03:57:49+00:00,2025-06-08,1607557520318689281,cryptofxalex,Alexandros 👑,4397,True,en,#LPTUSDT Entry: 7.911 Target 1: 8.075 ✅ Target 2: 8.238 ✅ PM ME TO JOIN VIP AND INVEST: https://t.co/e5q2W5Be4w #bitcoin #crypto #btc #eth #altcoin #trading #signal #memecoin #forex #xau #investing #gold #blockchain $LPT,1,0,0,0,0,374,False,1931561277257638251,Twitter for iPhone,[],bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561250464350649,https://x.com/ALIENPING0/status/1931561250464350649,2025-06-08T03:57:43+00:00,2025-06-08,1917582502664994816,ALIENPING0,AlienPing,1184,True,en,👽 $ALIENPING raids HIT @ 12AM UTC! 🚴‍♂️ See our DOPE YouTube: https://t.co/UfZqWrcBRe! 🌠 Join the COSMIC CREW &amp; shill! https://t.co/C8zqhNQW0O $BTC $ETH $SOL #Crypto #Bitcoin #prelaunch https://t.co/TQY8KpyF8o,6,14,6,0,6,110,False,1931561250464350649,Twitter Web App,"[{""type"": ""animated_gif"", ""url"": ""https://pbs.twimg.com/tweet_video_thumb/Gs5It-qWEAAoVVu.jpg"", ""expanded_url"": ""https://x.com/ALIENPING0/status/1931561250464350649/photo/1"", ""video_url"": null}, {""type"": ""photo"", ""url"": ""https://pbs.twimg.com/media/Gs5Itq6WsAAKFap.jpg"", ""expanded_url"": ""https://x.com/ALIENPING0/status/1931561250464350649/photo/1"", ""video_url"": null}]",bitcoin lang:en -filter:retweets -filter:replies,Latest
1931561115521007860,https://x.com/Williamjpcrypto/status/1931561115521007860,2025-06-08T03:57:11+00:00,2025-06-08,1388701950766682112,Williamjpcrypto,Neo,251,False,en,"Did you know that ARC-20 tokens like ATOM and Electron marked a turning point in Bitcoin’s history? 💡 ATOM was the first token mined using CPU, paving the way for a new era of innovation, while Electron stood out as the first high-difficulty mined token. 🚀 Thanks to them, we now have a technology that was once unthinkable. The future is bright for the Atomicals Protocol! ✨ #Bitcoin #ARC20 #Innovation #Atom(bitcoin) #electron(Bitcoin)",15,3,44,0,2,622,False,1931561115521007860,Twitter for iPhone,"[{""type"": ""photo"", ""url"": ""https://pbs.twimg.com/media/Gs5ImK2XEAA1i3V.jpg"", ""expanded_url"": ""https://x.com/Williamjpcrypto/status/1931561115521007860/photo/1"", ""video_url"": null}]",bitcoin lang:en -filter:retweets -filter:replies,Latest
1931560994758676693,https://x.com/Bitcustodes/status/1931560994758676693,2025-06-08T03:56:42+00:00,2025-06-08,1772628509929693184,Bitcustodes,Bitcustodes,237,True,en,"Securities backed loans go as low as SOFR +1% (5.29%). Keep stacking until #Bitcoin backed loans get as cheap and your draw rate is low. Then borrow to live taxfree. Heirs pay off the loan with stepped-up basis, no capital gains tax. @1MarkMoss is right: wealthy use smart credit. https://t.co/fLSJPx1ATD",0,1,2,0,1,195,False,1931560994758676693,Twitter for iPad,"[{""type"": ""photo"", ""url"": ""https://pbs.twimg.com/media/Gs5IfNXWkAATZp8.jpg"", ""expanded_url"": ""https://x.com/Bitcustodes/status/1931560994758676693/photo/1"", ""video_url"": null}]",bitcoin lang:en -filter:retweets -filter:replies,Latest
1931560953642111231,https://x.com/SymbolSatoshi/status/1931560953642111231,2025-06-08T03:56:32+00:00,2025-06-08,1369501888534564865,SymbolSatoshi,Sat,6269,True,en,For some of you bitcoin is all you got. I see you.,0,0,4,0,0,217,False,1931560953642111231,Twitter Web App,[],bitcoin lang:en -filter:retweets -filter:replies,Latest
1931560860356669903,https://x.com/SyneArtistry/status/1931560860356669903,2025-06-08T03:56:10+00:00,2025-06-08,1695941656900763648,SyneArtistry,Syne,1488,True,en,I think I am making the coolest Bitcoin game ever.. I have no idea what I am doing … however AI vibe coding the thing. It encompasses all that I love. And will teach as well.,0,0,2,0,0,28,False,1931560860356669903,Twitter for iPhone,[],bitcoin lang:en -filter:retweets -filter:replies,Latest
